measurement_no,specimen_no,measurement_type,average,reid_no,is_type,specimen_part,identified_name,identified_no,difference,accepted_name_x,accepted_no,max_ma,min_ma,reference_no,accepted_name_y,class,order,family,genus,diet,_merge
36214,18578,length,680.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36215,18578,circumference,107.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36216,18579,length,908.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36217,18579,circumference,331.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36218,18580,length,701.0,0,neither,tibia,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36219,18580,circumference,277.0,0,neither,tibia,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36220,18581,length,783.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36221,18581,circumference,128.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36222,18582,length,899.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36223,18582,circumference,345.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36224,18583,length,848.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36225,18583,circumference,255.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36226,18584,length,872.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36227,18584,circumference,338.0,0,neither,femur,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36228,18585,length,743.0,0,neither,tibia,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36229,18585,circumference,258.0,0,neither,tibia,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36230,18586,length,670.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36231,18586,circumference,111.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
