"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"36332","18637","mea","1","","length","821","",""
"36333","18637","mea","1","","circumference","222","",""
"36334","18638","mea","1","","length","792","",""
"36335","18638","mea","1","","circumference","105","",""
"36336","18639","mea","1","","length","984","",""
"36337","18639","mea","1","","circumference","264","",""
"36338","18640","mea","1","","length","854","",""
"36339","18640","mea","1","","circumference","312","",""
"36340","18641","mea","1","","length","799","",""
"36341","18641","mea","1","","circumference","281","",""
"36342","18642","mea","1","","length","724","",""
"36343","18642","mea","1","","circumference","95","",""
"36344","18643","mea","1","","length","771","",""
"36345","18643","mea","1","","circumference","281","",""
"36346","18644","mea","1","","length","767","",""
"36347","18644","mea","1","","circumference","261","",""
"36348","18645","mea","1","","length","681","",""
"36349","18645","mea","1","","circumference","84","",""
"36350","18646","mea","1","","length","1289","",""
"36351","18646","mea","1","","circumference","497","",""
"36352","18647","mea","1","","length","1173","",""
"36353","18647","mea","1","","circumference","435","",""
"36354","18648","mea","1","","length","982","",""
"36355","18648","mea","1","","circumference","147","",""
"36356","18649","mea","1","","length","1273","",""
"36357","18649","mea","1","","circumference","540","",""
"36358","18650","mea","1","","length","1199","",""
"36359","18650","mea","1","","circumference","468","",""
"36360","18651","mea","1","","length","1163","",""
"36361","18651","mea","1","","circumference","154","",""
"36362","18652","mea","1","","length","1006","",""
"36363","18652","mea","1","","circumference","389","",""
"36364","18653","mea","1","","length","1022","",""
"36365","18653","mea","1","","circumference","347","",""
"36366","18654","mea","1","","length","123","",""
"36367","18654","mea","1","","circumference","35","",""
"36368","18655","mea","1","","length","155","",""
"36369","18655","mea","1","","circumference","33","",""
"36370","18656","mea","1","","length","303","",""
"36371","18656","mea","1","","circumference","93","",""
"36372","18657","mea","1","","length","388","",""
"36373","18657","mea","1","","circumference","83","",""
"36374","18658","mea","1","","circumference","119","",""
"36375","18658","mea","1","","length","336","",""
"36376","18659","mea","1","","length","214","",""
"36377","18659","mea","1","","circumference","63","",""
"36378","18660","mea","1","","length","283","",""
"36379","18660","mea","1","","circumference","63","",""
"36380","18661","mea","1","","length","256","",""
"36381","18661","mea","1","","circumference","54","",""
"36382","18662","mea","1","","length","225","",""
"36383","18662","mea","1","","circumference","13","",""
"36388","18665","mea","1","","width","99","",""
"36389","18665","mea","1","","length","746","",""
"36390","18666","mea","1","","width","140","",""
"36391","18666","mea","1","","length","1055","",""
"36392","18667","mea","1","","width","180","",""
"36393","18667","mea","1","","length","1120","",""
"31800","18668","mea","1","","width","22","",""
"36394","18668","mea","1","","length","215","",""
"36395","18669","mea","1","","width","47","",""
"36396","18669","mea","1","","length","320","",""
"36397","18670","mea","1","","width","30","",""
"36398","18670","mea","1","","length","290","",""
"36399","18671","mea","1","","length","270","",""
"36400","18672","mea","1","","length","1153","",""
"36401","18673","mea","1","","width","73","",""
"36402","18673","mea","1","","length","865","",""
"36403","18674","mea","1","","width","40","",""
"36404","18674","mea","1","","length","801","",""
"36405","18675","mea","1","","length","2060","",""
"36867","18675","mea","1","","circumference","730","",""
"36406","18676","mea","1","","length","1200","",""
"36407","18677","mea","1","","length","2130","",""
"36408","18678","mea","1","","length","1260","",""
"36409","18679","mea","1","","length","1300","",""
"36410","18680","mea","1","","length","1060","",""
"36411","18681","mea","1","","length","2120","",""
"36412","18682","mea","1","","length","2310","",""
"36900","18682","mea","1","","circumference","800","",""
"36413","18683","mea","1","","length","1740","",""
"36414","18684","mea","1","","length","1100","",""
"36415","18685","mea","1","","length","1500","",""
"36416","18686","mea","1","","length","1010","",""
"36417","18687","mea","1","","length","1060","",""
"36418","18688","mea","1","","length","1100","",""
"36419","18689","mea","1","","length","1670","",""
"36420","18690","mea","1","","length","1790","",""
"36421","18691","mea","1","","length","1120","",""
"36422","18692","mea","1","","length","1150","",""
"36423","18693","mea","1","","length","800","",""
"36424","18694","mea","1","","length","850","",""
"36425","18695","mea","1","","length","1190","",""
"36426","18696","mea","1","","length","1640","",""
"36427","18697","mea","1","","length","154","",""
"36428","18698","mea","1","","length","149","",""
"36429","18699","mea","1","","length","355","",""
"36430","18700","mea","1","","length","300","",""
"36431","18701","mea","1","","length","276","",""
"36432","18702","mea","1","","width","20","",""
"36433","18702","mea","1","","length","209","",""
"36434","18703","mea","1","","length","365","",""
"36435","18704","mea","1","","width","30","",""
"36436","18704","mea","1","","length","321","",""
"36437","18705","mea","1","","length","212","",""
"36438","18706","mea","1","","width","18","",""
"36439","18706","mea","1","","length","195","",""
"36440","18707","mea","1","","length","218","",""
"36441","18708","mea","1","","length","147","",""
"36442","18709","mea","1","","length","128","",""
"36443","18710","mea","1","","length","270","",""
"36444","18711","mea","1","","length","322","",""
"36445","18712","mea","1","","width","17","",""
"36446","18712","mea","1","","length","305","",""
"36447","18713","mea","1","","width","9","",""
"36448","18713","mea","1","","length","105","",""
"36449","18714","mea","1","","width","6","",""
"36450","18714","mea","1","","length","88","",""
"36451","18715","mea","1","","width","6","",""
"36452","18715","mea","1","","length","82","",""
"36453","18716","mea","1","","length","150","",""
"36454","18717","mea","1","","length","177","",""
"36455","18718","mea","1","","length","257","",""
"36456","18719","mea","1","","length","385","",""
"36457","18720","mea","1","","length","230","",""
"36458","18721","mea","1","","length","240","",""
"36459","18722","mea","1","","length","225","",""
"36460","18723","mea","1","","length","265","",""
"36461","18724","mea","1","","length","280","",""
"36462","18725","mea","1","","length","260","",""
"36463","18726","mea","1","","length","270","",""
"36464","18727","mea","1","","length","290","",""
"36465","18728","mea","1","","length","280","",""
"36466","18729","mea","1","","length","346","",""
"36467","18730","mea","1","","length","355","",""
"36468","18731","mea","1","","length","318","",""
"36469","18732","mea","1","","length","750","",""
"36470","18733","mea","1","","length","1080","",""
"36471","18734","mea","1","","length","1000","",""
"36472","18735","mea","1","","length","430","",""
"36473","18736","mea","1","","length","670","",""
"36474","18737","mea","1","","length","1035","",""
"36475","18738","mea","1","","length","1000","",""
"36476","18739","mea","1","","length","935","",""
"36477","18740","mea","1","","length","620","",""
"36478","18741","mea","1","","length","551","",""
"36479","18742","mea","1","","length","540","",""
"36480","18743","mea","1","","length","384","",""
"36481","18744","mea","1","","length","1080","",""
"36482","18745","mea","1","","length","643","",""
"36483","18746","mea","1","","length","610","",""
"36484","18747","mea","1","","length","687","",""
"36485","18748","mea","1","","length","509","",""
"36486","18749","mea","1","","width","35","",""
"36487","18749","mea","1","","length","505","",""
"36488","18750","mea","1","","width","110","",""
"36489","18750","mea","1","","length","365","",""
"36490","18751","mea","1","","length","99","",""
"36491","18752","mea","1","","length","285","",""
"36492","18753","mea","1","","length","230","",""
"36493","18754","mea","1","","length","198","",""
"36494","18755","mea","1","","length","414","",""
"36495","18756","mea","1","","length","285","",""
"36496","18757","mea","1","","length","213","",""
"36497","18758","mea","1","","length","337","",""
"36498","18759","mea","1","","length","268","",""
"36499","18760","mea","8","","width","49","37","68"
"36500","18760","mea","8","","length","430","352","545"
"36501","18761","mea","1","","width","54","",""
"36502","18761","mea","1","","length","336","",""
