"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"112068","56119","mea","1","","width","21","",""
"112069","56119","mea","1","","length","204","",""
"112070","56120","mea","1","","width","27","",""
"112071","56120","mea","1","","length","204","",""
"112072","56121","mea","1","","width","29","",""
"112073","56121","mea","1","","length","240","",""
"112074","56122","mea","1","","width","21","",""
"112075","56122","mea","1","","length","245","",""
"112076","56123","mea","1","","width","22","",""
"112077","56123","mea","1","","length","270","",""
"112078","56124","mea","1","","width","19","",""
"112079","56124","mea","1","","length","250","",""
"112080","56125","mea","1","","width","20","",""
"112081","56125","mea","1","","length","204","",""
"112082","56126","mea","1","","width","23","",""
"112083","56126","mea","1","","length","245","",""
"112084","56127","mea","1","","width","24","",""
"112085","56127","mea","1","","length","225","",""
"112132","56151","mea","1","","length","183.1","",""
"112133","56151","mea","1","","height","65.7","",""
"112134","56152","mea","1","","length","204","",""
"112135","56153","mea","1","","length","85.1","",""
"112136","56154","mea","1","","length","212","",""
"112137","56155","mea","1","","length","147","",""
"112138","56156","mea","1","","length","145","",""
"112139","56157","mea","1","","length","323","",""
"112140","56158","mea","1","","length","335","",""
"112141","56159","mea","1","","length","323","",""
"112142","56160","mea","1","","length","165","",""
"112143","56161","mea","1","","length","178","",""
"112144","56162","mea","1","","length","181","",""
"112145","56163","mea","1","","length","184","",""
"112146","56164","mea","1","","length","190","",""
"112147","56165","mea","1","","length","193","",""
"112148","56166","mea","1","","length","194","",""
"112149","56167","mea","1","","length","195","",""
"112150","56168","mea","1","","length","200","",""
"112151","56169","mea","1","","length","201","",""
"112152","56170","mea","1","","length","212","",""
"112153","56171","mea","1","","length","413","",""
"112154","56172","mea","1","","length","108.2","",""
"112155","56173","mea","1","","length","72.6","",""
"112156","56174","mea","1","","length","177.1","",""
"112157","56175","mea","1","","length","99.4","",""
"112158","56176","mea","1","","length","67.9","",""
"112159","56177","mea","1","","length","180.5","",""
"112160","56178","mea","1","","length","101.8","",""
"112161","56179","mea","1","","length","79.8","",""
"112162","56180","mea","1","","length","199.7","",""
"112163","56181","mea","1","","length","120.2","",""
"112164","56182","mea","1","","length","205.2","",""
"112165","56183","mea","1","","length","441.1","",""
"112166","56184","mea","1","","length","1050","",""
"112167","56185","mea","1","","length","1100","",""
"166866","56185","mea","1","","circumference","432","",""
"112168","56186","mea","1","","length","690","",""
"166867","56186","mea","1","","circumference","270","",""
"112169","56187","mea","1","","length","630","",""
"166868","56187","mea","1","","circumference","225","",""
"112170","56188","mea","1","","width","32.73","",""
"112171","56188","mea","1","","length","227.83","",""
"112172","56189","mea","1","","width","32.04","",""
"112173","56189","mea","1","","length","327.83","",""
"112174","56190","mea","1","","width","25.45","",""
"112175","56190","mea","1","","length","297.62","",""
"112176","56191","mea","1","","width","62.53","",""
"112177","56191","mea","1","","length","430.02","",""
"112178","56192","mea","1","","width","55.65","",""
"112179","56192","mea","1","","length","377.33","",""
"112180","56193","mea","1","","width","40.28","",""
"112181","56193","mea","1","","length","270.56","",""
"112182","56194","mea","1","","width","50.62","",""
"112183","56194","mea","1","","length","448.38","",""
"112184","56195","mea","1","","width","50.77","",""
"112185","56195","mea","1","","length","428.83","",""
"112186","56196","mea","1","","width","38.55","",""
"112187","56196","mea","1","","length","408.87","",""
"112287","56285","mea","1","","length","320","",""
"112288","56286","mea","1","","length","470","",""
"112289","56287","mea","1","","length","350","",""
"112290","56288","mea","1","","length","265","",""
"112291","56289","mea","1","","length","295","",""
"112292","56290","mea","1","","length","522","",""
"112293","56291","mea","1","","length","510","",""
"112294","56292","mea","1","","length","330","",""
"112295","56293","mea","1","","length","560","",""
"112296","56294","mea","1","","length","590","",""
"112300","56298","mea","1","","length","596","",""
"112301","56299","mea","1","","length","1100","",""
"112302","56300","mea","1","","length","1143","",""
"112303","56301","mea","1","","length","417","",""
"112304","56302","mea","1","","length","494","",""
"112305","56303","mea","1","","width","179","",""
"112306","56303","mea","1","","length","153","",""
"112307","56304","mea","1","","length","466","",""
"112308","56305","mea","1","","length","359","",""
"112309","56306","mea","1","","length","341","",""
"112310","56307","mea","1","","length","557","",""
"112311","56308","mea","1","","length","565","",""
"112312","56309","mea","1","","length","520","",""
"112313","56310","mea","1","","width","206","",""
"112314","56310","mea","1","","length","190","",""
"112315","56311","mea","1","","length","529","",""
"112316","56312","mea","1","","length","405","",""
"112317","56313","mea","1","","length","391","",""
"112320","56315","mea","1","","length","475","",""
"112321","56316","mea","1","","length","292","",""
"112322","56317","mea","1","","length","285","",""
"112323","56318","mea","1","","length","277","",""
"112324","56319","mea","1","","length","420","",""
"112325","56320","mea","1","","length","550","",""
"112326","56321","mea","1","","length","235","",""
"112327","56322","mea","1","","length","280","",""
"112330","56324","mea","1","","length","120","",""
"112331","56325","mea","1","","length","85","",""
"112332","56326","mea","1","","length","64","",""
"112333","56327","mea","1","","length","160","",""
"112334","56328","mea","1","","length","165","",""
"112335","56329","mea","1","","length","282","",""
"112336","56330","mea","1","","length","175","",""
"112337","56331","mea","1","","length","153","",""
"157430","56331","mea","1","","diameter","10","",""
"112338","56332","mea","1","","length","345","",""
"112339","56333","mea","1","","length","315","",""
"112340","56334","mea","1","","length","114","",""
"112341","56335","mea","1","","length","85","",""
"112342","56336","mea","1","","length","63","",""
"112343","56337","mea","1","","length","152","",""
"112344","56338","mea","1","","length","156","",""
"112345","56339","mea","1","","length","115","",""
"112346","56340","mea","1","","length","83","",""
"112347","56341","mea","1","","length","58","",""
"112348","56342","mea","1","","length","112","",""
"112349","56343","mea","1","","length","145","",""
"112350","56344","mea","1","","length","890","",""
"112351","56345","mea","1","","length","630","",""
"112352","56346","mea","1","","length","580","",""
"112353","56347","mea","1","","length","1080","",""
"112354","56348","mea","1","","length","710","",""
"112355","56349","mea","1","","length","740","",""
"112374","56367","mea","1","","length","1000","",""
"112375","56368","mea","1","","width","162.5","",""
"112376","56368","mea","1","","length","910","",""
"112377","56369","mea","1","","width","105","",""
"112378","56369","mea","1","","length","605","",""
"112379","56370","mea","1","","width","80","",""
"112380","56370","mea","1","","length","540","",""
"112381","56371","mea","1","","width","230","",""
"112382","56371","mea","1","","length","1095","",""
"112383","56372","mea","1","","width","130","",""
"112384","56372","mea","1","","length","681","",""
"112385","56373","mea","1","","width","80","",""
"112386","56373","mea","1","","length","727.5","",""
"112387","56374","mea","1","","length","82.2","",""
"112388","56375","mea","1","","length","126.9","",""
"112389","56376","mea","1","","length","132.3","",""
"112390","56377","mea","1","","length","87.55","",""
"112391","56378","mea","1","","length","120.0","",""
"112392","56379","mea","1","","length","1230","",""
"112393","56380","mea","1","","length","340","",""
"112394","56381","mea","1","","length","770","",""
"112395","56382","mea","1","","length","700","",""
"112396","56383","mea","1","","width","90","",""
"112397","56383","mea","1","","length","710","",""
"112398","56384","mea","1","","width","160","",""
"112399","56384","mea","1","","length","1130","",""
"112400","56385","mea","1","","length","730","",""
"112401","56386","mea","1","","length","130","",""
"112402","56387","mea","1","","length","160","",""
"112403","56388","mea","1","","length","95","",""
"112404","56389","mea","1","","length","110","",""
"112405","56390","mea","1","","length","130","",""
"112406","56391","mea","1","","length","208","",""
"112407","56392","mea","1","","width","12","",""
"112408","56392","mea","1","","length","205","",""
"112409","56393","mea","1","","length","1080","",""
"112410","56394","mea","1","","width","320","",""
"112411","56394","mea","1","","length","480","",""
"112412","56395","mea","1","","width","210","",""
"112413","56395","mea","1","","length","1480","",""
"112414","56396","mea","1","","width","150","",""
"112415","56396","mea","1","","length","800","",""
"112416","56397","mea","1","","length","64.7","",""
"112417","56398","mea","1","","length","58.5","",""
"112418","56399","mea","1","","length","44.5","",""
"112419","56400","mea","1","","length","44.2","",""
"112420","56401","mea","1","","length","118.0","",""
"112421","56402","mea","1","","length","140.7","",""
"112462","56437","mea","1","","length","1160","",""
"112463","56438","mea","1","","length","1030","",""
"112464","56439","mea","1","","length","360","",""
"112465","56439","mea","1","","height","210","",""
"114980","57757","mea","1","","length","37.5","",""
"114981","57758","mea","1","","length","36","",""
"114982","57759","mea","1","","length","79","",""
"114983","57760","mea","1","","length","110","",""
"122236","61786","mea","1","","length","520","",""
"122237","61787","mea","1","","length","375","",""
"122238","61788","mea","1","","length","245","",""
"122239","61789","mea","1","","length","268","",""
"122240","61790","mea","1","","length","555","",""
"122241","61791","mea","1","","length","82.8","",""
"122242","61792","mea","1","","length","59.1","",""
"122243","61793","mea","1","","length","65.0","",""
"122244","61794","mea","1","","length","140","",""
"157038","61794","mea","1","","width","11","",""
"122245","61795","mea","1","","length","197.6","",""
"122246","61796","mea","1","","length","190","",""
"122247","61797","mea","1","","length","237","",""
"157498","61797","mea","1","","diameter","18.2","",""
"122248","61798","mea","1","","length","186","",""
"157499","61798","mea","1","","diameter","11.8","",""
"122249","61799","mea","1","","length","172","",""
"157520","61799","mea","1","","diameter","10","",""
"122250","61800","mea","1","","length","312","",""
"157497","61800","mea","1","","diameter","18","",""
"122251","61801","mea","1","","length","297","",""
"122252","61802","mea","1","","width","150","",""
"122253","61802","mea","1","","length","320","",""
"122254","61803","mea","1","","length","177.1","",""
"157490","61803","mea","1","","diameter","10.9","",""
"122255","61804","mea","1","","length","172.0","",""
"157491","61804","mea","1","","diameter","9","",""
"122256","61805","mea","1","","length","176.5","",""
"122257","61806","mea","1","","length","120","",""
"122258","61807","mea","1","","length","185","",""
"122259","61808","mea","1","","width","115","",""
"122260","61808","mea","1","","length","330","",""
"122261","61809","mea","1","","length","450","",""
"122262","61810","mea","1","","length","530","",""
"122263","61811","mea","1","","length","106","",""
"122264","61812","mea","1","","length","102","",""
"122265","61813","mea","1","","length","375","",""
"122266","61814","mea","1","","length","350","",""
"122267","61815","mea","1","","length","192","",""
"122268","61816","mea","1","","length","218","",""
"122269","61817","mea","1","","length","208","",""
"122270","61818","mea","1","","length","270","",""
"122271","61819","mea","1","","length","306","",""
"122272","61820","mea","1","","length","267","",""
"122273","61821","mea","1","","length","360","",""
"122274","61822","mea","1","","length","390","",""
"122275","61823","mea","1","","length","360","",""
"122276","61824","mea","1","","length","635","",""
"122277","61825","mea","1","","length","285","",""
"122278","61826","mea","1","","length","167","",""
"157434","61826","mea","1","","diameter","10","",""
"122279","61827","mea","1","","length","170","",""
"157435","61827","mea","1","","diameter","18","",""
"122280","61828","mea","1","","length","168","",""
"157436","61828","mea","1","","diameter","11","",""
"122323","61848","mea","1","","width","46","",""
"122324","61848","mea","1","","length","380","",""
"122325","61849","mea","1","","width","21","",""
"122326","61849","mea","1","","length","179","",""
"122327","61850","mea","1","","width","40","",""
"122328","61850","mea","1","","length","362","",""
"122329","61851","mea","1","","width","17","",""
"122330","61851","mea","1","","length","256","",""
"122331","61852","mea","1","","width","15","",""
"122332","61852","mea","1","","length","239","",""
"122333","61853","mea","1","","length","300","",""
"122334","61854","mea","1","","length","151","",""
"122335","61855","mea","1","","length","42","",""
"122336","61856","mea","1","","length","99","",""
"122337","61857","mea","1","","length","52","",""
"122338","61858","mea","1","","length","57","",""
"122339","61859","mea","1","","length","338","",""
"122340","61860","mea","1","","length","397","",""
"122356","61867","mea","1","","width","945","",""
"122357","61867","mea","1","","length","1393.5","",""
"122358","61868","mea","1","","width","136.5","",""
"122359","61869","mea","1","","width","56","",""
"122360","61869","mea","1","","length","385","",""
"122361","61870","mea","1","","width","27","",""
"122362","61870","mea","1","","length","173","",""
"122363","61871","mea","1","","length","214","",""
"122364","61872","mea","1","","width","165","",""
"122365","61872","mea","1","","length","1143","",""
"122366","61873","mea","1","","width","105","",""
"122367","61873","mea","1","","length","1032","",""
"122372","61876","mea","1","","length","711","",""
"122386","61883","mea","1","","length","120","",""
"122387","61883","mea","1","","height","170","",""
"122389","61884","mea","1","","width","20","",""
"122390","61884","mea","1","","length","222","",""
"122391","61885","mea","1","","width","24","",""
"122392","61885","mea","1","","length","263","",""
"137126","68847","mea","1","","width","635","",""
"137127","68847","mea","1","","length","550","",""
"137128","68848","mea","1","","width","245","",""
"137129","68848","mea","1","","length","615","",""
"137130","68849","mea","1","","width","695","",""
"137131","68849","mea","1","","length","555","",""
"137132","68850","mea","1","","width","295","",""
"137133","68850","mea","1","","length","542","",""
"137134","68851","mea","1","","width","362","",""
"137135","68851","mea","1","","length","670","",""
"137136","68852","mea","1","","width","128","",""
"137137","68852","mea","1","","length","448","",""
"137138","68853","mea","1","","width","285","",""
"137139","68853","mea","1","","length","536","",""
"137140","68854","mea","1","","width","745","",""
"137141","68854","mea","1","","length","645","",""
"137142","68855","mea","1","","width","125","",""
"137143","68855","mea","1","","length","410","",""
"137144","68856","mea","1","","width","106","",""
"137145","68856","mea","1","","length","403","",""
"137146","68857","mea","1","","width","47","",""
"137147","68857","mea","1","","length","230","",""
"137148","68858","mea","1","","width","83","",""
"137149","68858","mea","1","","length","570","",""
"137150","68859","mea","1","","width","76","",""
"137151","68859","mea","1","","length","410","",""
"137152","68860","mea","1","","width","25","",""
"137153","68860","mea","1","","length","360","",""
"137154","68861","mea","1","","width","480","",""
"137155","68861","mea","1","","length","455","",""
"137156","68862","mea","1","","length","400","",""
"137157","68863","mea","1","","length","180","",""
"137158","68864","mea","1","","width","73","",""
"137159","68864","mea","1","","length","300","",""
"137160","68865","mea","1","","width","41","",""
"137161","68865","mea","1","","length","182","",""
"137162","68866","mea","1","","width","50","",""
"137163","68866","mea","1","","length","210","",""
"137164","68867","mea","1","","length","390","",""
"137165","68868","mea","1","","length","190","",""
"137166","68869","mea","1","","width","51","",""
"137167","68869","mea","1","","length","290","",""
"137168","68870","mea","1","","width","30","",""
"137169","68870","mea","1","","length","174","",""
"137170","68871","mea","1","","width","32","",""
"137171","68871","mea","1","","length","210","",""
"137172","68872","mea","1","","width","210","",""
"137173","68872","mea","1","","length","185","",""
"137174","68873","mea","1","","length","190","",""
"137175","68874","mea","1","","length","110","",""
"137176","68875","mea","1","","width","31","",""
"137177","68875","mea","1","","length","160","",""
"137178","68876","mea","1","","width","18","",""
"137179","68877","mea","1","","length","485","",""
"137180","68878","mea","1","","width","205","",""
"137181","68878","mea","1","","length","133","",""
"137182","68879","mea","1","","length","495","",""
"137183","68880","mea","1","","length","325","",""
"137184","68881","mea","1","","length","485","",""
"137185","68882","mea","1","","length","700","",""
"137186","68883","mea","1","","length","535","",""
"137187","68884","mea","1","","length","535","",""
"137188","68885","mea","1","","width","350","",""
"137189","68885","mea","1","","length","224","",""
"137190","68886","mea","1","","length","360","",""
"137193","68889","mea","1","","length","510","",""
"137194","68890","mea","1","","length","560","",""
"137195","68891","mea","1","","length","360","",""
"137196","68892","mea","1","","length","390","",""
"137197","68893","mea","1","","length","320","",""
"137198","68894","mea","1","","length","310","",""
"137201","68897","mea","1","","width","8","",""
"137202","68897","mea","1","","length","74","",""
"137203","68898","mea","1","","width","5.7","",""
"137204","68898","mea","1","","length","67","",""
"137205","68899","mea","1","","length","42","",""
"137206","68900","mea","1","","width","9.6","",""
"137207","68900","mea","1","","length","109","",""
"137208","68901","mea","1","","width","10","",""
"137209","68901","mea","1","","length","136","",""
"137210","68902","mea","1","","width","4","",""
"137211","68902","mea","1","","length","111","",""
"137212","68903","mea","1","","width","9.8","",""
"137213","68903","mea","1","","length","109","",""
"137214","68904","mea","1","","length","138","",""
"137553","69076","mea","1","","width","12.5","",""
"137554","69076","mea","1","","length","70","",""
"137555","69077","mea","1","","width","25","",""
"137558","69080","mea","1","","length","110","",""
"137559","69081","mea","1","","width","16.5","",""
"137560","69082","mea","1","","width","15","",""
"137561","69082","mea","1","","length","82","",""
"137562","69083","mea","1","","width","33","",""
"137563","69083","mea","1","","length","33.3","",""
"137564","69084","mea","1","","width","11.2","",""
"137565","69084","mea","1","","length","97","",""
"137566","69085","mea","1","","width","5","",""
"137567","69085","mea","1","","length","87.6","",""
"137568","69086","mea","1","","width","7.4","",""
"137569","69086","mea","1","","length","85","",""
"137570","69087","mea","1","","width","26","",""
"137571","69087","mea","1","","length","198","",""
"137572","69088","mea","1","","width","23","",""
"137573","69088","mea","1","","length","199","",""
"137574","69089","mea","1","","width","18.4","",""
"137575","69089","mea","1","","length","207","",""
"137576","69090","mea","1","","width","6","",""
"137577","69090","mea","1","","length","193","",""
"137578","69091","mea","1","","width","48","",""
"137579","69091","mea","1","","length","94","",""
"137580","69092","mea","1","","length","75","",""
"137581","69093","mea","1","","length","68","",""
"137582","69094","mea","1","","length","43","",""
"137583","69095","mea","1","","length","40","",""
"137584","69096","mea","1","","length","104","",""
"137585","69097","mea","1","","length","129","",""
"137586","69098","mea","1","","length","123","",""
"137587","69099","mea","1","","length","66","",""
"137588","69100","mea","1","","length","58","",""
"137589","69101","mea","1","","length","37","",""
"137604","69109","mea","1","","width","45","",""
"137605","69109","mea","1","","length","41","",""
"137606","69110","mea","1","","width","43","",""
"137607","69110","mea","1","","length","40","",""
"137608","69111","mea","1","","length","65","",""
"137609","69112","mea","1","","length","69","",""
"137610","69113","mea","1","","length","202","",""
"137611","69114","mea","1","","width","68","",""
"137612","69114","mea","1","","length","238","",""
"137613","69115","mea","1","","width","64.5","",""
"137614","69115","mea","1","","length","236","",""
"137615","69116","mea","1","","width","20","",""
"137616","69116","mea","1","","length","173","",""
"137617","69117","mea","1","","width","73","",""
"137618","69117","mea","1","","length","53","",""
"137619","69118","mea","1","","width","64","",""
"137620","69119","mea","1","","length","147","",""
"137621","69120","mea","1","","width","38","",""
"137622","69121","mea","1","","width","61","",""
"137623","69121","mea","1","","length","143","",""
"137624","69122","mea","1","","width","65","",""
"137625","69122","mea","1","","length","45.5","",""
"137626","69123","mea","1","","width","41","",""
"137627","69123","mea","1","","length","98","",""
"137628","69124","mea","1","","length","193","",""
"137629","69125","mea","1","","length","258","",""
"137630","69126","mea","1","","length","102","",""
"137631","69127","mea","1","","length","110","",""
"137632","69128","mea","1","","length","116","",""
"137633","69129","mea","1","","length","74.5","",""
"137634","69130","mea","1","","width","25.2","",""
"137635","69130","mea","1","","length","218","",""
"137636","69131","mea","1","","width","59.5","",""
"137637","69132","mea","1","","width","57.5","",""
"137638","69133","mea","1","","width","18.8","",""
"137639","69134","mea","1","","length","218","",""
"137640","69135","mea","1","","width","26","",""
"137641","69135","mea","1","","length","221.5","",""
"137642","69136","mea","1","","length","310","",""
"137643","69137","mea","1","","length","43","",""
"137644","69138","mea","1","","length","90","",""
"137645","69139","mea","1","","length","72","",""
"137646","69140","mea","1","","length","87","",""
"137647","69141","mea","1","","length","67","",""
"137648","69142","mea","1","","width","110","",""
"137649","69142","mea","1","","length","420","",""
"137768","69226","mea","1","","length","760","",""
"137769","69227","mea","1","","length","700","",""
"137770","69228","mea","1","","length","110","",""
"137771","69229","mea","1","","length","600","",""
"137772","69230","mea","1","","length","350","",""
"137773","69231","mea","1","","length","450","",""
"137774","69232","mea","1","","length","558.8","",""
"137775","69233","mea","1","","length","740","",""
"137776","69234","mea","1","","length","600","",""
"137777","69235","mea","1","","length","508","",""
"137778","69236","mea","1","","length","560","",""
"137779","69237","mea","1","","width","165","",""
"137780","69237","mea","1","","length","950","",""
"137781","69238","mea","1","","length","310","",""
"137782","69239","mea","1","","width","130","",""
"137783","69239","mea","1","","length","790","",""
"137784","69240","mea","1","","length","500","",""
"137785","69241","mea","1","","width","200","",""
"137786","69241","mea","1","","length","1080","",""
"137787","69242","mea","1","","width","145","",""
"137788","69242","mea","1","","length","780","",""
"137789","69243","mea","1","","length","730","",""
"137790","69244","mea","1","","length","1030","",""
"137791","69245","mea","1","","length","840","",""
"137792","69246","mea","1","","length","207","",""
"137793","69247","mea","1","","length","106","",""
"137794","69248","mea","1","","length","123","",""
"137795","69249","mea","1","","length","223","",""
"137796","69250","mea","1","","width","80","",""
"137797","69251","mea","1","","width","80","",""
"137798","69252","mea","1","","length","205","",""
"137799","69253","mea","1","","width","150","",""
"137800","69253","mea","1","","length","190","",""
"137801","69254","mea","1","","length","205","",""
"137802","69255","mea","1","","length","150","",""
"137803","69256","mea","1","","length","148","",""
"137804","69257","mea","1","","length","119","",""
"137805","69258","mea","1","","length","81","",""
"137806","69259","mea","1","","length","90","",""
"137807","69260","mea","1","","length","162","",""
"137808","69261","mea","1","","length","181","",""
"137809","69262","mea","1","","length","179","",""
"137810","69263","mea","1","","length","123","",""
"137811","69264","mea","1","","length","158","",""
"137812","69265","mea","1","","length","167","",""
"137825","69272","mea","1","","length","203","",""
"137831","69272","mea","1","","width","185","",""
"137826","69273","mea","1","","length","171","",""
"137827","69274","mea","1","","length","149","",""
"137828","69275","mea","1","","length","91","",""
"137829","69276","mea","1","","length","172","",""
"137830","69277","mea","1","","length","197","",""
"141957","71222","mea","1","","length","1180","",""
"141958","71223","mea","1","","width","380","",""
"141959","71223","mea","1","","length","720","",""
"141960","71224","mea","1","","length","470","",""
"141961","71225","mea","1","","length","440","",""
"141962","71226","mea","1","","width","530","",""
"141963","71226","mea","1","","length","1050","",""
"141964","71227","mea","1","","length","640","",""
"141965","71228","mea","1","","length","640","",""
"141973","71232","mea","1","","width","160","",""
"141974","71232","mea","1","","length","680","",""
"141975","71233","mea","1","","length","1380","",""
"141982","71237","mea","1","","width","165","",""
"141983","71238","mea","1","","length","480","",""
"142012","71252","mea","1","","width","195","",""
"142013","71252","mea","1","","length","1240","",""
"142014","71253","mea","1","","width","420","",""
"142015","71253","mea","1","","length","297","",""
"142023","71257","mea","1","","width","151","",""
"142024","71257","mea","1","","length","1034","",""
"142025","71257","mea","1","","circumference","440","",""
"142026","71258","mea","1","","length","940","",""
"142027","71258","mea","1","","circumference","302","",""
"142028","71259","mea","1","","width","77","",""
"142029","71259","mea","1","","length","930","",""
"142030","71259","mea","1","","circumference","249","",""
"142037","71262","mea","1","","width","162","",""
"142038","71262","mea","1","","length","1032","",""
"142039","71262","mea","1","","circumference","460","",""
"142040","71263","mea","1","","width","102","",""
"142041","71263","mea","1","","length","735","",""
"142042","71263","mea","1","","circumference","295","",""
"142043","71264","mea","1","","width","150","",""
"142044","71264","mea","1","","length","965","",""
"142045","71264","mea","1","","circumference","438","",""
"142046","71265","mea","1","","width","113","",""
"142047","71265","mea","1","","length","720","",""
"142048","71266","mea","1","","width","88","",""
"142049","71266","mea","1","","length","682","",""
"142050","71266","mea","1","","circumference","254","",""
"142056","71267","mea","1","","width","202","",""
"142057","71267","mea","1","","length","1440","",""
"142058","71267","mea","1","","circumference","540","",""
"142059","71268","mea","1","","width","136","",""
"142060","71268","mea","1","","length","1064","",""
"142061","71268","mea","1","","circumference","368","",""
"142062","71269","mea","1","","width","99","",""
"142063","71269","mea","1","","length","1120","",""
"142064","71269","mea","1","","circumference","267","",""
"142065","71270","mea","1","","width","173","",""
"142066","71270","mea","1","","length","910","",""
"142067","71270","mea","1","","circumference","449","",""
"142068","71271","mea","1","","width","83","",""
"142069","71271","mea","1","","length","728","",""
"142070","71271","mea","1","","circumference","275","",""
"142071","71272","mea","1","","width","83","",""
"142072","71272","mea","1","","length","686","",""
"142073","71272","mea","1","","circumference","233","",""
"142074","71273","mea","1","","width","227","",""
"142075","71273","mea","1","","length","1448","",""
"142076","71273","mea","1","","circumference","590","",""
"142077","71274","mea","1","","width","174","",""
"142078","71274","mea","1","","length","935","",""
"142079","71274","mea","1","","circumference","444","",""
"142080","71275","mea","1","","width","107","",""
"142081","71275","mea","1","","length","983","",""
"142082","71275","mea","1","","circumference","279","",""
"142083","71276","mea","1","","width","188","",""
"142084","71276","mea","1","","length","936","",""
"142085","71276","mea","1","","circumference","470","",""
"142086","71277","mea","1","","width","106","",""
"142087","71277","mea","1","","length","660","",""
"142088","71277","mea","1","","circumference","265","",""
"142104","71281","mea","1","","length","870","",""
"142105","71282","mea","1","","length","1200","",""
"142109","71284","mea","1","","length","1300","",""
"142113","71286","mea","1","","circumference","700","",""
"142114","71287","mea","1","","length","500","",""
"144469","72348","mea","1","","width","540","",""
"144470","72348","mea","1","","length","1140","",""
"144471","72349","mea","1","","length","480","",""
"144472","72350","mea","1","","width","700","",""
"144473","72350","mea","1","","length","1180","",""
"144474","72351","mea","1","","width","510","",""
"144475","72351","mea","1","","length","510","",""
"144476","72352","mea","1","","width","590","",""
"144477","72352","mea","1","","length","1120","",""
"144478","72353","mea","1","","width","500","",""
"144479","72353","mea","1","","length","420","",""
"144592","72397","mea","1","","width","200","",""
"144593","72397","mea","1","","length","1000","",""
"144594","72398","mea","1","","width","240","",""
"144595","72398","mea","1","","length","1000","",""
"144596","72399","mea","1","","width","98","",""
"144597","72399","mea","1","","length","625","",""
"144598","72400","mea","1","","length","783","",""
"144599","72401","mea","1","","width","83","",""
"144600","72401","mea","1","","length","637","",""
"144601","72402","mea","1","","length","677","",""
"144602","72403","mea","1","","width","105","",""
"144603","72404","mea","1","","width","110","",""
"144604","72404","mea","1","","length","1395","",""
"144605","72405","mea","1","","width","160","",""
"144606","72405","mea","1","","length","810","",""
"144607","72406","mea","1","","width","120","",""
"144608","72406","mea","1","","length","830","",""
"144609","72407","mea","1","","width","200","",""
"144610","72407","mea","1","","length","810","",""
"144611","72408","mea","1","","width","100","",""
"144612","72408","mea","1","","length","830","",""
"144625","72413","mea","1","","width","210","",""
"144626","72413","mea","1","","length","1440","",""
"144627","72414","mea","1","","width","180","",""
"144628","72414","mea","1","","length","1490","",""
"144629","72415","mea","1","","width","250","",""
"144630","72415","mea","1","","length","1660","",""
"144631","72416","mea","1","","width","90","",""
"144632","72416","mea","1","","length","1040","",""
"144633","72417","mea","1","","width","85","",""
"144634","72417","mea","1","","length","1080","",""
"144646","72422","mea","1","","width","205","",""
"144647","72422","mea","1","","length","1240","",""
"144651","72424","mea","1","","length","560","",""
"144652","72425","mea","1","","length","1550","",""
"144656","72427","mea","1","","length","752","",""
"144657","72427","mea","1","","circumference","402","",""
"144658","72428","mea","1","","length","535","",""
"144659","72428","mea","1","","circumference","371","",""
"144660","72429","mea","1","","length","839","",""
"144661","72429","mea","1","","circumference","240","",""
"144733","72458","mea","1","","width","50","",""
"144734","72458","mea","1","","length","820","",""
"144735","72459","mea","1","","width","105","",""
"144736","72459","mea","1","","length","515","",""
"144737","72460","mea","1","","width","43","",""
"144738","72460","mea","1","","length","480","",""
"144739","72461","mea","1","","width","110","",""
"144740","72461","mea","1","","length","600","",""
"144742","72462","mea","1","","length","750","",""
"144743","72463","mea","1","","width","369","",""
"144744","72463","mea","1","","length","715","",""
"144746","72464","mea","1","","length","561","",""
"144747","72465","mea","1","","width","205","",""
"144748","72465","mea","1","","length","458","",""
"144749","72466","mea","1","","width","200","",""
"144750","72466","mea","1","","length","460","",""
"144751","72467","mea","1","","width","356","",""
"144752","72467","mea","1","","length","654","",""
"144753","72468","mea","1","","width","217","",""
"144754","72468","mea","1","","length","576","",""
"157007","78381","mea","1","","length","560","",""
"157008","78382","mea","1","","length","255","",""
"157009","78383","mea","1","","length","1075","",""
"157010","78384","mea","1","","length","945","",""
"157011","78385","mea","1","","length","483","",""
"157012","78386","mea","1","","length","225","",""
"157013","78387","mea","1","","length","1530","",""
"157014","78388","mea","1","","length","1430","",""
"157015","78389","mea","1","","length","350","",""
"157016","78390","mea","1","","width","59","",""
"157017","78390","mea","1","","length","529","",""
"157018","78390","mea","1","","circumference","124","",""
"157019","78391","mea","1","","length","332","",""
"157020","78392","mea","1","","length","50","",""
"157021","78393","mea","1","","length","257","",""
"157022","78394","mea","1","","width","165","",""
"157023","78394","mea","1","","length","1400","",""
"157024","78395","mea","1","","length","900","",""
"157025","78396","mea","1","","width","225","",""
"157026","78396","mea","1","","length","755","",""
"157027","78397","mea","1","","width","80","",""
"157028","78397","mea","1","","length","876","",""
"157029","78398","mea","1","","width","65","",""
"157030","78398","mea","1","","length","769","",""
"157031","78398","mea","1","","circumference","250","",""
"157032","78399","mea","1","","length","776","",""
"157033","78400","mea","1","","width","32","",""
"157034","78400","mea","1","","length","697","",""
